arm,engine_rank,engine_port,minute,attainment_pct,rejected_pct,window_s,step_s,run,denominator,rule
llm-d,fleet,,21.0,,64.1763,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,22.0,,78.6988,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,23.0,,71.4712,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,24.0,,72.2885,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,25.0,,69.6641,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,26.0,,42.9644,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,27.0,,41.9271,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,28.0,,61.7942,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,29.0,,56.4426,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,30.0,,28.1798,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,31.0,,28.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,32.0,,44.2282,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,33.0,,27.0769,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,34.0,,5.0695,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,35.0,,51.4485,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,36.0,,69.6656,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,37.0,,69.3356,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,38.0,,58.8093,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,39.0,,65.4197,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,40.0,,67.0087,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,41.0,,51.9839,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,42.0,,10.98,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,43.0,,49.3552,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,44.0,,45.1334,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,45.0,,1.9438,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
llm-d,fleet,,46.0,,15.1794,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
