arm,arm_set,minute,throughput_tok_s,goodput_tok_s,attainment_admitted_pct,attainment_offered_pct,attainment_all_arrivals_pct,in_flight_at_end_frac,cut_at_minute
FluidServe,four,10.7500,17915.0493,13132.0556,100.0000,99.4005,99.4005,0.0000,59.7500
FluidServe,four,11.2500,13334.2178,10140.9111,100.0000,99.5136,99.5136,0.0000,59.7500
FluidServe,four,11.7500,7802.9304,8590.6000,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,12.2500,7965.7573,8904.8889,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,12.7500,9734.0775,10454.3111,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,13.2500,10676.9838,11207.0556,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,13.7500,8373.8112,10215.4000,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,14.2500,10279.5196,8205.7111,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,14.7500,6791.5483,6474.7778,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,15.2500,6250.0535,6004.0000,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,15.7500,7132.4969,10051.1778,99.8982,97.8066,97.8066,0.0000,59.7500
FluidServe,four,16.2500,8716.5098,12625.1111,99.9055,94.9686,94.9686,0.0000,59.7500
FluidServe,four,16.7500,9542.6295,14171.1333,99.8150,82.8089,82.8089,0.0000,59.7500
FluidServe,four,17.2500,13182.0001,12075.8556,99.5872,76.7701,76.7701,0.0000,59.7500
FluidServe,four,17.7500,13367.6260,11238.2111,99.5570,76.8376,76.8376,0.0000,59.7500
FluidServe,four,18.2500,7943.5141,11213.1000,99.1935,84.6608,84.6608,0.0000,59.7500
FluidServe,four,18.7500,12272.5809,11420.5667,98.9559,82.8155,82.8155,0.0000,59.7500
FluidServe,four,19.2500,11552.3302,11799.0222,98.8751,75.7759,75.7759,0.0000,59.7500
FluidServe,four,19.7500,12187.8101,12584.4000,99.3737,67.5177,67.5177,0.0000,59.7500
FluidServe,four,20.2500,13041.1747,12750.4778,99.8938,56.9613,56.9613,0.0000,59.7500
FluidServe,four,20.7500,14552.3226,12686.0111,99.8912,47.0046,47.0046,0.0000,59.7500
FluidServe,four,21.2500,12174.3343,12313.2667,99.7727,40.2199,40.2199,0.0000,59.7500
FluidServe,four,21.7500,14012.4163,11826.5222,99.6540,40.1487,40.1487,0.0000,59.7500
FluidServe,four,22.2500,10284.7797,11826.7556,99.6652,43.3495,43.3495,0.0000,59.7500
FluidServe,four,22.7500,14170.9096,11951.5444,99.7785,45.8291,45.8291,0.0000,59.7500
FluidServe,four,23.2500,14499.1303,12814.4889,99.8951,47.9839,47.9839,0.0000,59.7500
FluidServe,four,23.7500,14866.1007,12621.2667,100.0000,47.9123,47.9123,0.0000,59.7500
FluidServe,four,24.2500,13523.0700,13108.8889,100.0000,49.6055,49.6055,0.0000,59.7500
FluidServe,four,24.7500,9035.1295,12311.6778,99.8896,51.3330,51.3330,0.0000,59.7500
FluidServe,four,25.2500,12030.8719,11799.3111,99.7683,56.7942,56.7942,0.0000,59.7500
FluidServe,four,25.7500,13230.1800,10709.1444,99.6255,67.9727,67.9727,0.0000,59.7500
FluidServe,four,26.2500,10671.3899,10860.8778,99.7465,78.3865,78.3865,0.0000,59.7500
FluidServe,four,26.7500,13914.6249,11678.5333,99.6508,78.7489,78.7489,0.0000,59.7500
FluidServe,four,27.2500,11349.0447,12226.5333,99.6659,73.6626,73.6626,0.0000,59.7500
FluidServe,four,27.7500,9486.9483,12634.9000,99.5685,64.0972,64.0972,0.0000,59.7500
FluidServe,four,28.2500,13352.3742,12257.2222,99.6633,55.7439,55.7439,0.0000,59.7500
FluidServe,four,28.7500,12069.1190,11859.5778,99.7636,57.2592,57.2592,0.0000,59.7500
FluidServe,four,29.2500,11949.2227,11059.7222,99.7534,65.2946,65.2946,0.0000,59.7500
FluidServe,four,29.7500,13764.9487,10839.7222,99.8733,83.5631,83.5631,0.0000,59.7500
FluidServe,four,30.2500,13432.0366,10749.7333,99.8756,91.5621,91.5621,0.0000,59.7500
FluidServe,four,30.7500,11404.8820,10646.0667,100.0000,93.2099,93.2099,0.0000,59.7500
FluidServe,four,31.2500,11686.8749,10954.4556,100.0000,89.0203,89.0203,0.0000,59.7500
