arm,engine_rank,engine_port,series,minute,value,resident_chat,resident_deepresearch,resident_swe,budgets
llm-d,1,8003,tbt_ms,2.4145,20.879,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.4312,20.947,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.4478,21.025,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.4645,21.081,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.4812,21.103,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.4978,21.141,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.5145,21.148,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.5312,21.184,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.5478,21.224,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.5645,21.292,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.5812,21.304,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.5978,21.323,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.6145,21.346,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.6312,21.362,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.6478,21.325,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.6645,21.288,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.6812,21.259,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.6978,21.263,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.7145,21.282,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.7312,21.293,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.7478,21.262,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
