arm,run,minute,resident,resident_lo,resident_hi,stat,arrivals_req_s,pearson_r_with_arrivals,rejected_pct,unfinished_pct,repeats
Llumnix,260831_2346_exp109r1_slot75_shift,33.0,578.2262431859971,572.3740613222122,578.2262431859971,sum,20.116666666666667,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,34.0,1065.6332940538723,1054.6175275365513,1065.6332940538723,sum,25.033333333333335,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,35.0,856.7003150701523,856.7003150701523,905.5396810253462,sum,33.7,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,36.0,857.1878538330398,834.0357116778691,857.1878538330398,sum,39.11666666666667,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,37.0,1035.0977054993311,931.2422219316165,1035.0977054993311,sum,36.7,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,38.0,939.4653742869694,931.578503926595,939.4653742869694,sum,34.1,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,39.0,1121.8080345312756,1043.3302027026812,1121.8080345312756,sum,33.68333333333333,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,40.0,957.5627277453741,957.5627277453741,974.1088225603103,sum,29.65,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,41.0,607.3153385519983,579.251528330644,607.3153385519983,sum,18.516666666666666,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,42.0,964.7834730505942,948.4787857691447,964.7834730505942,sum,24.716666666666665,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,43.0,710.9766312877338,710.9766312877338,714.4159039855004,sum,28.3,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,44.0,319.75025347868603,315.73299852212267,319.75025347868603,sum,16.333333333333332,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,45.0,611.9400008996328,603.4486893733342,611.9400008996328,sum,16.283333333333335,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,46.0,831.5207279205323,801.9141401966413,831.5207279205323,sum,23.05,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,47.0,732.2861608982085,732.2861608982085,737.6138297438622,sum,24.633333333333333,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,48.0,733.3908825278282,733.3908825278282,739.5236173431078,sum,23.483333333333334,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,49.0,811.0550775369007,810.1481051921845,811.0550775369007,sum,28.566666666666666,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,50.0,899.8674308061599,892.572294652462,899.8674308061599,sum,39.43333333333333,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,51.0,957.3415527939795,957.3415527939795,959.6187248150507,sum,44.75,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,52.0,969.0030031641326,962.8870587269464,969.0030031641326,sum,43.666666666666664,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,53.0,988.3803526441257,975.2653702775638,988.3803526441257,sum,45.05,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,54.0,950.0233298540115,950.0233298540115,956.6798666318258,sum,43.35,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,55.0,889.3377869844437,889.3377869844437,897.4651214996974,sum,40.68333333333333,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,56.0,829.7929407715798,829.7929407715798,830.4585996627807,sum,32.9,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,57.0,860.0927786270777,860.0927786270777,861.5568550666173,sum,32.78333333333333,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,58.0,829.7266757130624,827.151394089063,829.7266757130624,sum,37.18333333333333,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,59.0,680.0361656109492,680.0361656109492,693.2335654656092,sum,23.65,0.7174057706479212,39.00868583865702,0.8756373309687431,2
FluidServe,260831_2015_exp109r1_fsv3capgnofrct75_shift,0.0,117.24911297162375,115.9725357413292,117.24911297162375,sum,9.883333333333333,0.769837240534341,19.69831321416336,0.5975292718808569,2
FluidServe,260831_2015_exp109r1_fsv3capgnofrct75_shift,1.0,135.1871795574824,134.7844900170962,135.1871795574824,sum,11.25,0.769837240534341,19.69831321416336,0.5975292718808569,2
FluidServe,260831_2015_exp109r1_fsv3capgnofrct75_shift,2.0,127.41111402114234,127.41111402114234,127.64536272684732,sum,11.233333333333333,0.769837240534341,19.69831321416336,0.5975292718808569,2
