arm,rate_req_s,n_repeats,preemptions,preemptions_min,preemptions_max,kv_p90_pct,kv_p90_pct_min,kv_p90_pct_max,queue_p90_reqs,queue_p90_reqs_min,queue_p90_reqs_max,batch_p90_reqs,batch_p90_reqs_min,batch_p90_reqs_max,kv_mean_pct,kv_mean_pct_min,kv_mean_pct_max,source,run_set
llm-d,10.0,2,0.0,0.0,0.0,27.250150449982215,26.466203463085037,28.034097436879392,0.0,0.0,0.0,82.07499999999999,81.69999999999999,82.44999999999999,9.992817047096253,9.78034052679032,10.205293567402183,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
llm-d,15.0,2,0.0,0.0,0.0,36.081325054025214,34.96867904915611,37.19397105889433,0.75,0.75,0.75,110.33749999999999,108.42499999999998,112.25,17.6436934981076,17.424026621331436,17.86336037488376,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
llm-d,20.0,2,0.0,0.0,0.0,45.38976803348196,45.1102388051536,45.669297261810314,1.0,1.0,1.0,130.3625,129.75,130.975,26.04224593615057,25.57909384125659,26.50539803104455,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
llm-d,25.0,2,0.0,0.0,0.0,48.24729190032005,46.853885712722594,49.640698087917514,1.0,1.0,1.0,123.7125,119.225,128.20000000000002,29.77410620826754,28.483266972062104,31.06494544447298,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
llm-d,35.0,2,0.0,0.0,0.0,49.222994228191595,49.04532647646142,49.400661979921765,1.0,1.0,1.0,116.1125,108.475,123.75,32.208975052559055,31.74919166417434,32.66875844094377,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
llm-d,45.0,2,0.0,0.0,0.0,47.25370654047106,43.11479333643352,51.3926197445086,0.875,0.75,1.0,118.5875,107.25,129.925,30.15712440347955,28.005623494080197,32.3086253128789,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
llm-d,55.0,2,0.0,0.0,0.0,53.60662800558033,53.55034603495911,53.66290997620155,0.75,0.5,1.0,103.375,97.75,109.0,30.641841889812753,29.44701815950824,31.836665620117266,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
llm-d,70.0,2,28.5,10.0,47.0,54.70566512569413,52.08250129934076,57.3288289520475,1.125,1.0,1.25,107.12500000000004,101.60000000000005,112.65000000000003,34.774761202331476,34.2367783317186,35.312744072944355,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
FluidServe,10.0,2,0.0,0.0,0.0,17.7718357633285,17.74899472057335,17.79467680608365,0.625,0.5,0.75,47.25,47.25,47.25,9.984905936823841,9.980742084199825,9.989069789447857,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
FluidServe,15.0,2,0.0,0.0,0.0,34.10564324206034,33.67891238340126,34.53237410071942,1.25,1.0,1.5,91.5,89.25,93.75,21.32719072902222,21.065116236095097,21.58926522194934,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
