arm,engine_rank,engine_port,minute,tbt_ms,smoothing_s,run,source
FluidServe,1,8002,2.9972,28.9516,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.0139,28.9552,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.0305,28.9478,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.0472,28.913,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.0639,28.9272,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.0805,29.0303,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.0972,29.1001,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.1139,29.1492,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.1305,29.2867,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.1472,29.3291,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.1639,29.4794,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.1805,29.5626,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.1972,29.6151,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.2139,29.6968,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.2305,29.8487,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.2472,29.9342,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.2639,29.8959,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.2805,29.9286,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.2972,29.9827,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.3139,30.0706,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.3305,30.2376,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,3.3472,30.3002,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
