arm,engine_rank,engine_port,minute,tbt_ms,smoothing_s,run,source
FluidServe,1,8002,0.6305,27.3008,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.6472,27.353,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.6639,27.3196,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.6805,27.3323,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.6972,27.316,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.7139,27.3601,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.7305,27.4012,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.7472,27.4225,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.7639,27.4616,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.7805,27.5084,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.7972,27.5859,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.8139,27.6179,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.8305,27.7454,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.8472,27.8056,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.8639,27.824,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.8805,27.8511,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour|exp109r1_llmdslot75|exp109r1_polyservept75,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
