series,minute,value,smoothing_s,bytes_per_token
decode_kv_gb_s_rep1,1.77346,1.61860,20,327680
decode_kv_gb_s_rep1,1.79013,1.64511,20,327680
decode_kv_gb_s_rep1,1.80680,1.66174,20,327680
decode_kv_gb_s_rep1,1.82346,1.67888,20,327680
decode_kv_gb_s_rep1,1.84013,1.70066,20,327680
decode_kv_gb_s_rep1,1.85680,1.71354,20,327680
decode_kv_gb_s_rep1,1.87346,1.72558,20,327680
decode_kv_gb_s_rep1,1.89013,1.75004,20,327680
decode_kv_gb_s_rep1,1.90680,1.76964,20,327680
decode_kv_gb_s_rep1,1.92346,1.77657,20,327680
decode_kv_gb_s_rep1,1.94013,1.77586,20,327680
decode_kv_gb_s_rep1,1.95680,1.76635,20,327680
decode_kv_gb_s_rep1,1.97346,1.75957,20,327680
decode_kv_gb_s_rep1,1.99013,1.74573,20,327680
decode_kv_gb_s_rep1,2.00680,1.72864,20,327680
decode_kv_gb_s_rep1,2.02346,1.73049,20,327680
decode_kv_gb_s_rep1,2.04013,1.70305,20,327680
decode_kv_gb_s_rep1,2.05680,1.69116,20,327680
decode_kv_gb_s_rep1,2.07346,1.66194,20,327680
decode_kv_gb_s_rep1,2.09013,1.62919,20,327680
decode_kv_gb_s_rep1,2.10680,1.60701,20,327680
decode_kv_gb_s_rep1,2.12346,1.57099,20,327680
decode_kv_gb_s_rep1,2.14013,1.55325,20,327680
decode_kv_gb_s_rep1,2.15680,1.53642,20,327680
decode_kv_gb_s_rep1,2.17346,1.52987,20,327680
decode_kv_gb_s_rep1,2.19013,1.51737,20,327680
decode_kv_gb_s_rep1,2.20680,1.49520,20,327680
decode_kv_gb_s_rep1,2.22346,1.48111,20,327680
decode_kv_gb_s_rep1,2.24013,1.47464,20,327680
decode_kv_gb_s_rep1,2.25680,1.46770,20,327680
decode_kv_gb_s_rep1,2.27346,1.45771,20,327680
decode_kv_gb_s_rep1,2.29013,1.44585,20,327680
decode_kv_gb_s_rep1,2.30680,1.44620,20,327680
decode_kv_gb_s_rep1,2.32346,1.45656,20,327680
decode_kv_gb_s_rep1,2.34013,1.46475,20,327680
decode_kv_gb_s_rep1,2.35680,1.46337,20,327680
decode_kv_gb_s_rep1,2.37346,1.47053,20,327680
decode_kv_gb_s_rep1,2.39013,1.47569,20,327680
decode_kv_gb_s_rep1,2.40680,1.47060,20,327680
decode_kv_gb_s_rep1,2.42346,1.46865,20,327680
decode_kv_gb_s_rep1,2.44013,1.46475,20,327680
decode_kv_gb_s_rep1,2.45680,1.46655,20,327680
decode_kv_gb_s_rep1,2.47346,1.46551,20,327680
decode_kv_gb_s_rep1,2.49013,1.46111,20,327680
decode_kv_gb_s_rep1,2.50680,1.46400,20,327680
decode_kv_gb_s_rep1,2.52346,1.45323,20,327680
decode_kv_gb_s_rep1,2.54013,1.45594,20,327680
decode_kv_gb_s_rep1,2.55680,1.45272,20,327680
decode_kv_gb_s_rep1,2.57346,1.44202,20,327680
decode_kv_gb_s_rep1,2.59013,1.44228,20,327680
decode_kv_gb_s_rep1,2.60680,1.45338,20,327680
decode_kv_gb_s_rep1,2.62346,1.47354,20,327680
decode_kv_gb_s_rep1,2.64013,1.47120,20,327680
decode_kv_gb_s_rep1,2.65680,1.47931,20,327680
decode_kv_gb_s_rep1,2.67346,1.49027,20,327680
decode_kv_gb_s_rep1,2.69013,1.51173,20,327680
decode_kv_gb_s_rep1,2.70680,1.52732,20,327680
decode_kv_gb_s_rep1,2.72346,1.53238,20,327680
decode_kv_gb_s_rep1,2.74013,1.54855,20,327680
decode_kv_gb_s_rep1,2.75680,1.55081,20,327680
decode_kv_gb_s_rep1,2.77346,1.56109,20,327680
decode_kv_gb_s_rep1,2.79013,1.55865,20,327680
decode_kv_gb_s_rep1,2.80680,1.55829,20,327680
decode_kv_gb_s_rep1,2.82346,1.54815,20,327680
decode_kv_gb_s_rep1,2.84013,1.54865,20,327680
decode_kv_gb_s_rep1,2.85680,1.56780,20,327680
decode_kv_gb_s_rep1,2.87346,1.57714,20,327680
decode_kv_gb_s_rep1,2.89013,1.57986,20,327680
decode_kv_gb_s_rep1,2.90680,1.59135,20,327680
decode_kv_gb_s_rep1,2.92346,1.59165,20,327680
decode_kv_gb_s_rep1,2.94013,1.59086,20,327680
decode_kv_gb_s_rep1,2.95680,1.58178,20,327680
decode_kv_gb_s_rep1,2.97346,1.58504,20,327680
decode_kv_gb_s_rep1,2.99013,1.57614,20,327680
decode_kv_gb_s_rep1,3.00680,1.54999,20,327680
decode_kv_gb_s_rep1,3.02346,1.52338,20,327680
